sku,slug,name,category,price,material,blurb,description,details,featured,madeToOrder,status,notes
NCK-05,medaille-layered-set,Médaille Layered Set,necklaces,168000,Gold vermeil,"Three chains at three lengths, sold as one set.","Layering is easy to get wrong — chains of similar length tangle and sit on top of each other. These are cut at 40, 45 and 50cm so they hang clear, and the medallion anchors the shortest.","40 / 45 / 50cm | Three chains, one clasp each | Engraved medallion | Wear together or apart",yes,,placeholder,
NCK-06,fleur-blanche-pendant,Fleur Blanche Pendant,necklaces,124000,"Enamel, gold vermeil",A hand-painted enamel flower on a fine chain.,"The petals are enamelled by hand and fired, so the white has depth to it rather than sitting flat like paint. Each firing shifts the colour slightly, which is why no two match exactly.",28mm flower | 42cm chain | Hand-enamelled | Colour varies slightly,,yes,placeholder,
NCK-07,trois-layering-set,Trois Layering Set,necklaces,186000,"Gold vermeil, freshwater pearl",Our layering set for people who have never layered.,"The question we get most is which chains go together. This is the answer — a fine cable, a satellite and a pearl drop, cut to lengths that work as a set and still make sense worn alone.",Three chains | 38 / 44 / 50cm | Freshwater pearl drop | Sold as a set,,,placeholder,
NCK-08,couronne-pendant,Couronne Pendant,necklaces,138000,Gold vermeil,A small crown pendant on a rope chain.,"Scaled down deliberately — a crown at 15mm reads as a charm, at 30mm it reads as costume. On a rope chain because a flat chain would fight the shape.",15mm pendant | 50cm rope chain | Gold vermeil | Lobster clasp,,,placeholder,
EAR-01,orbit-hoops,Orbit Hoops,earrings,78000,Gold vermeil,"The 18mm everyday hoop, light enough to forget.","The weight is the whole point of these. At 18mm they read as an everyday hoop, and the hollow tube construction means you stop noticing them by mid-morning.",18mm diameter | Hollow tube — 1.1g per pair | Hinged closure | Also in 12mm and 25mm,yes,,placeholder,
EAR-02,seed-studs,Seed Studs,earrings,45000,Sterling silver,A 3mm ball stud. The one you never take out.,"Small, round, done. These are the studs for second and third piercings, and the ones we recommend for anyone who wants to wear something permanently without thinking about it.",3mm ball | Butterfly backs | Nickel free | Sold as a pair,,,placeholder,
EAR-03,cascade-drops,Cascade Drops,earrings,168000,"14ct gold fill, quartz",Three graduated quartz drops on a fine wire.,"Long, narrow and deliberately unbalanced — the drops graduate in size so they catch light at three different heights. Our most-asked-about piece at events.","58mm total drop | Rose or clear quartz | Hook fitting | Ordered in, 2 weeks",,yes,placeholder,
EAR-04,pave-huggie-hoops,Pavé Huggie Hoops,earrings,96000,"Gold vermeil, pavé set",A huggie that sits tight to the lobe.,"A huggie hugs the lobe instead of hanging from it, which means it stays put through a jumper and a night’s sleep. Pavé across the outer face only — the inside is left plain so it lies flat.",11mm outer diameter | Hinged closure | Pavé outer face | Sold as a pair,yes,,placeholder,
EAR-05,ingot-hoops,Ingot Hoops,earrings,112000,Sterling silver,A heavy hoop with real presence.,Deliberately weighty where the Orbit is deliberately light. These are for wearing on their own with nothing else — the whole point is that they are the only thing you have on.,16mm diameter | 4mm thickness | Hinged closure | Solid silver,,,placeholder,
EAR-06,perle-drop-earrings,Perle Drop Earrings,earrings,134000,"Gold vermeil, freshwater pearl",A single pearl on a short gold drop.,"Short enough to clear a collar, long enough to move. The pearl is drilled and pinned rather than glued, which is the difference between an earring that lasts and one that does not.","32mm total drop | 8–9mm freshwater pearl | Pinned, not glued | Butterfly backs",,,placeholder,
EAR-07,laurier-ear-climbers,Laurier Ear Climbers,earrings,148000,"Sterling silver, cubic zirconia",A climber that follows the curve of the ear.,"A climber sits along the lobe rather than hanging below it, so it reads from the front as a line of light. Shaped to a standard lobe curve and bendable by hand for the rest.",26mm climb | Shapeable by hand | Cubic zirconia | Sold as a pair,,,placeholder,
EAR-08,ribbed-huggie-hoops,Ribbed Huggie Hoops,earrings,84000,Gold vermeil,A ribbed huggie with no stones at all.,The texture does the work here instead of stones — fine ribbing across the face that catches light as the head turns. The plain answer for anyone who finds pavé too much.,12mm outer diameter | Ribbed face | Hinged closure | Sold as a pair,,,placeholder,
BRC-01,meridian-cuff,Meridian Cuff,bracelets,92000,Brass with gold plating,"A wide open cuff, adjustable at the wrist.","Cut from a single sheet and formed by hand, the Meridian is an open cuff you adjust yourself for a close fit. Substantial without being heavy.",14mm width | Adjustable 16–19cm | Hand formed | Polish or brushed finish,,,placeholder,
BRC-02,anchor-chain-bracelet,Anchor Chain Bracelet,bracelets,88000,Sterling silver,A solid anchor-link chain with a hand-set clasp.,"Solid links, not hollow — it has the weight you expect when you pick it up. Sized at 18cm with two spare links included so it can be adjusted at home.","18cm, adjustable | 4mm links | Solid, not hollow | Two spare links included",,,placeholder,
BRC-03,ligne-tennis-bracelet,Ligne Tennis Bracelet,bracelets,265000,"Sterling silver, cubic zirconia","A single line of stones, evenly set.","Every stone is the same size and the same spacing, which sounds obvious and is the hardest part to get right. A double-lock clasp because a tennis bracelet that opens is a tennis bracelet you lose.","18cm, adjustable to 17cm | 3mm stones | Double-lock clasp | Sold in a fitted box",yes,,placeholder,
BRC-04,fil-bangle,Fil Bangle,bracelets,74000,Gold vermeil,A fine bangle to wear three at a time.,"The bracelet answer to the Thread band — thin enough to stack without bulk, rigid enough to hold its circle. Slips over the hand rather than opening, so there is no clasp to fail.",1.8mm width | 60mm internal diameter | No clasp | Sold individually,,,placeholder,
BRC-05,double-curb-bracelet,Double Curb Bracelet,bracelets,128000,Sterling silver,Two curb chains running as one bracelet.,Two flat curb chains joined at the clasp so they lie side by side instead of twisting over each other. Heavier than it looks and the reason people keep it on.,19cm | Two 3mm chains | Single lobster clasp | Solid links,,,placeholder,
BRC-06,stack-bangles,Stack Bangles,bracelets,96000,Mixed gold vermeil and silver,"A set of five, mixed metals on purpose.","Mixing gold and silver used to be a rule you broke. Five bangles at graduated widths, deliberately mismatched, so the stack looks collected rather than bought.",Set of five | 1–4mm widths | Mixed metals | Sold as a set,,,placeholder,
BRC-07,poids-chain-bracelet,Poids Chain Bracelet,bracelets,156000,Gold vermeil,"A heavy curb chain, sized short.","Cut at 17cm so it sits at the wrist bone rather than sliding over the hand. The weight is the point — a light chain of this width would read as hollow, because it would be.","17cm | 7mm links | Solid, not hollow | Fold-over clasp",,,placeholder,
BRC-08,soiree-crystal-bracelet,Soirée Crystal Bracelet,bracelets,218000,"Rhodium plate, crystal",A wide crystal bracelet for one night a year.,"We are not going to pretend this is an everyday piece. It is for the wedding, the gala and the anniversary, and it is priced so it does not have to earn its keep the rest of the year.","22mm width | 18cm, adjustable | Rhodium plated | Fitted presentation box",,,placeholder,
WCH-01,sahel-field-watch,Sahel Field Watch,watches,285000,"Brushed steel, sapphire crystal",A 38mm field watch on an interchangeable strap.,"A legible field watch at 38mm — big enough to read at a glance, small enough to sit under a cuff. Sapphire crystal, 5ATM, and a quick-release strap so it changes in seconds.",38mm case | Sapphire crystal | 5ATM water resistant | Quick-release strap,yes,,placeholder,
WCH-02,colette-dress-watch,Colette Dress Watch,watches,245000,"Gold plate, guilloché dial",A 32mm dress watch with a hand-finished guilloché dial.,"The dial is guilloché — engine-turned in fine concentric lines — so it shifts between bright and matt as the wrist moves. At 32mm it reads as jewelry first and a watch second, which is the point.",32mm case | Guilloché dial | Milanese bracelet | 3ATM water resistant,yes,,placeholder,
WCH-03,ombre-bronze-watch,Ombre Bronze Watch,watches,198000,"Rose gold plate, bronze dial",A warm bronze dial on a rose gold bracelet.,"A bronze sunray dial that darkens toward the edge, paired with rose gold rather than yellow so it stays warm without going brassy. The one to wear with tan and cream.",34mm case | Bronze sunray dial | Rose gold plated bracelet | Fold-over clasp,,,placeholder,
WCH-04,adele-mesh-watch,Adèle Mesh Watch,watches,175000,"Rose gold plate, milanese mesh",A fine mesh bracelet that sits flat to the wrist.,"Milanese mesh is woven rather than linked, so it lies flat and never catches on a sleeve. The clasp slides, which means it adjusts to the millimetre instead of the nearest link.",32mm case | Milanese mesh bracelet | Infinitely adjustable clasp | 3ATM water resistant,,,placeholder,
WCH-05,nuit-navy-watch,Nuit Navy Watch,watches,215000,"Gold plate, navy dial",A deep navy dial in a slim gold case.,"Navy instead of black, because black flattens under warm light and navy keeps its depth. A slim case and a matching strap, cut narrow so it does not crowd a small wrist.",33mm case | Navy sunray dial | Navy leather strap | Slim 7mm profile,,,placeholder,
WCH-06,malachite-watch,Malachite Watch,watches,320000,"Gold plate, malachite dial",A true malachite stone dial — no two are alike.,"The dial is cut from malachite, so the banding is different on every piece and we photograph each one before it ships. Green against gold is the oldest pairing in the collection and still the one people stop to look at.",30mm case | Genuine malachite dial | Banding varies by piece | Photograph sent before dispatch,,yes,placeholder,
WCH-07,etoile-pave-watch,Étoile Pavé Watch,watches,298000,"Steel, pavé-set bezel",A pavé-set bezel that catches light from across a room.,"Stones set close around the bezel rather than scattered across the dial, which keeps the face legible and puts the sparkle at the edge where it does the most work.",34mm case | Pavé-set bezel | Steel bracelet | 5ATM water resistant,,,placeholder,
WCH-08,douala-chronograph,Douala Chronograph,watches,275000,"Rose gold plate, three-register dial",A three-register chronograph scaled for a smaller wrist.,"Most chronographs are built for a 42mm case and simply shrunk. This one is laid out at 36mm from the start, so the subdials stay readable instead of becoming decoration.",36mm case | Three-register chronograph | Rose gold plated | Tachymeter bezel,,,placeholder,
WCH-09,brume-everyday-watch,Brume Everyday Watch,watches,145000,"Steel, cream dial",The plain cream-dial watch you stop noticing.,"No date window, no branding across the dial, no chronograph. A cream face, two hands and a slim strap — the watch for someone who wants to know the time and nothing else.",30mm case | Cream matt dial | No date window | Interchangeable strap,,,placeholder,
RFH-01,bamenda-market-tote,Bamenda Market Tote,raffia,68000,"Handwoven raffia, leather handles",A handwoven raffia tote with leather handles.,"Woven by hand from raffia palm, with vegetable-tanned leather handles stitched on rather than riveted. It softens with use and holds its shape when loaded.",38 × 34cm | Leather handles | Handwoven — each varies | Unlined,,,placeholder,
RFH-02,wide-brim-sun-hat,Wide Brim Sun Hat,raffia,58000,Handwoven raffia,A 12cm brim that actually shades a face.,"Most straw hats sold as sun hats have a brim too narrow to do anything. This one is 12cm, which is the width at which it stops being decorative and starts being useful.",12cm brim | Internal drawstring sizing | Handwoven raffia | Natural or dark,,,placeholder,
RFH-03,raffia-bucket-bag,Raffia Bucket Bag,raffia,82000,"Raffia, leather strap",A drawstring bucket on a long leather strap.,"Bucket shape because it holds more than its footprint suggests, and a long strap so it can be worn across the body at a market. The drawstring closes properly rather than gaping.",26cm tall | Adjustable leather strap | Drawstring closure | Cotton lined,yes,,placeholder,
RFH-04,packable-panama,Packable Panama,raffia,64000,Handwoven toquilla straw,Rolls into a bag and comes out flat.,"Woven finely enough to roll without cracking, which is the only real test of a packable hat. Unroll it, leave it an hour, and the brim returns.",Rolls for packing | Grosgrain band | Toquilla straw | Sizes S–L,,,placeholder,
RFH-05,foulard-brim-hat,Foulard Brim Hat,raffia,72000,"Raffia, cotton band",A dark raffia brim with a tie band.,"Dyed dark rather than left natural, which is unusual in raffia and takes several passes to get even. The band ties rather than fastens, so it can be swapped for a scarf.",10cm brim | Tie band | Dark dyed raffia | Handwoven,,,placeholder,
RFH-06,everyday-raffia-tote,Everyday Raffia Tote,raffia,56000,Handwoven raffia,"The plain tote, no leather, no lining.","Stripped back to the weave itself — no leather trim, no lining, no hardware. It is the cheapest thing we sell and the one we use ourselves.",34 × 30cm | Woven handles | Unlined | Handwoven raffia,,,placeholder,
RFH-07,market-basket,Market Basket,raffia,48000,Woven palm,A stiff-sided basket that stands up on its own.,"Rigid where the totes are soft, so it stands open on a table and does not collapse when half full. The shape West African markets have used for a very long time, because it works.",30 × 24cm | Rigid sides | Woven palm | Twin handles,,,placeholder,
RFH-08,picnic-basket-bag,Picnic Basket Bag,raffia,66000,"Raffia, leather handles",An open basket with leather handles.,"Open topped on purpose — this is for flowers, bread and things that should not be squashed. Leather handles because raffia handles stretch under weight.",32 × 22cm | Leather handles | Open top | Handwoven,,,placeholder,
SUN-01,harmattan-sunglasses,Harmattan Sunglasses,sunglasses,82000,"Acetate, polarised lenses",A wide acetate frame with polarised lenses.,"Hand-polished acetate in a wide, slightly squared frame. Polarised lenses with full UV400, and adjustable nose pads so they sit properly rather than sliding.","Polarised, UV400 | Hand-polished acetate | Adjustable nose pads | Case included",,,placeholder,
SUN-02,cercle-round-sunglasses,Cercle Round Sunglasses,sunglasses,94000,"Gold-tone metal, green lens",A fine round metal frame with a green lens.,"A true circle rather than the softened oval most brands sell as round. Green lens rather than grey, which warms what you see instead of flattening it.","Polarised, UV400 | Fine metal frame | Adjustable nose pads | Case included",yes,,placeholder,
SUN-03,ecaille-round-sunglasses,Écaille Round Sunglasses,sunglasses,88000,Tortoiseshell acetate,Tortoiseshell acetate in a rounded frame.,"The pattern is laid into the acetate block before cutting, so it runs through the material rather than sitting on the surface. It cannot wear off.","Polarised, UV400 | Hand-polished acetate | Pattern runs through | Case included",,,placeholder,
SUN-04,demi-browline-sunglasses,Demi Browline Sunglasses,sunglasses,92000,"Acetate brow, metal rim",A heavy brow over a fine metal rim.,"The weight sits along the top and the bottom of the lens is rimless, which lifts the whole frame on the face. Harder to make than a full rim and worth it.","Polarised, UV400 | Acetate brow, metal lower | Gradient lens | Case included",,,placeholder,
SUN-05,ardoise-round-sunglasses,Ardoise Round Sunglasses,sunglasses,86000,"Acetate, slate lens",A dark slate lens in a slim acetate frame.,"The darkest lens we fit, for genuinely bright light rather than for looking moody indoors. The frame is kept slim so the lens does the talking.","Polarised, UV400, category 3 | Slim acetate frame | Slate lens | Case included",,,placeholder,
SUN-06,aviateur-sunglasses,Aviateur Sunglasses,sunglasses,98000,"Metal frame, gradient lens","The classic teardrop, in a smaller size.","Cut smaller than the original military pattern, which was sized for a flight helmet and swamps most faces. A double bridge because a single one flexes.","Polarised, UV400 | Double bridge | Teardrop lens | Case included",,,placeholder,
SUN-07,dune-sunglasses,Dune Sunglasses,sunglasses,84000,"Acetate, brown lens",A warm brown lens in a clear frame.,"Brown lenses raise contrast, which is why they are what people wear on the water. The clear frame keeps them from reading as heavy on a small face.","Polarised, UV400 | Contrast brown lens | Clear acetate frame | Case included",,,placeholder,
SUN-08,miel-tinted-sunglasses,Miel Tinted Sunglasses,sunglasses,78000,"Acetate, amber lens",A light amber tint for overcast days.,"A category 1 lens — light enough to wear when the sun is not really out, which is most days. Not a sunglass for glare; a sunglass for the walk home.","UV400, category 1 | Amber tint | Light acetate frame | Case included",,,placeholder,
BRO-01,rosette-brooch,Rosette Brooch,brooches,64000,Gold vermeil,A layered rosette on a secure roll-over clasp.,"Five petals raised by hand and layered so the piece catches light from any angle. The clasp is a roll-over safety fitting, not a simple pin — it will not work loose on a coat.",32mm across | Roll-over safety clasp | Hand-raised petals | Presented in a gift box,yes,,placeholder,
BRO-02,papillon-brooch,Papillon Brooch,brooches,118000,"Rhodium plate, moonstone",A butterfly set with moonstone wings.,"Moonstone rather than crystal for the wings, because it goes cloudy-blue as it turns instead of just flashing. Set on a trembler spring so it moves slightly as you do.",48mm wingspan | Moonstone wings | Trembler spring mount | Roll-over clasp,yes,,placeholder,
BRO-03,eventail-pearl-brooch,Éventail Pearl Brooch,brooches,134000,"Sterling silver, freshwater pearl",A pierced silver fan with a pearl drop.,"The fan is pierced by hand, which is why the openings are not quite identical. A single pearl hangs below so the piece has movement rather than sitting flat on a lapel.",42mm including drop | Hand-pierced fan | 9mm freshwater pearl | Roll-over clasp,,,placeholder,
BRO-04,epi-spray-brooch,Épi Spray Brooch,brooches,96000,"Silver plate, glass","Two wheat sprays, worn together or apart.","Sold as a pair because two at slightly different angles look gathered, where one looks lost. Light enough for silk, which most brooches of this size are not.",Each spray 60mm | Sold as a pair | Under 8g each | Pin-back clasp,,,placeholder,
BRO-05,crystal-wing-brooch,Crystal Wing Brooch,brooches,126000,"Rhodium plate, crystal",An open-wing butterfly in pavé crystal.,"The wings are open rather than filled, so the brooch reads as a drawing of a butterfly instead of a model of one. Considerably lighter as a result.",52mm wingspan | Open pavé wings | Rhodium plated | Roll-over clasp,,,placeholder,
BRO-06,perle-bar-brooch,Perle Bar Brooch,brooches,108000,"Silver plate, freshwater pearl",A vertical bar of graduated pearls.,"Pearls graduated large to small down a bar, worn vertically on a lapel or horizontally at a collar. The one brooch here that works on a shirt as well as a coat.",70mm long | Graduated 4–10mm pearls | Wearable either way | Pin-back clasp,,,placeholder,
BRO-07,fleur-set-brooch,Fleur Set Brooch,brooches,88000,"Gold plate, silk","Three fabric-and-metal flowers, sold as a set.","Silk petals over a gilt frame, so they have the softness of fabric and the shape of metal. Three of them, meant to be scattered rather than lined up.",Set of three | 35–45mm each | Silk over gilt frame | Pin-back clasp,,,placeholder,
BRO-08,heritage-drop-brooch,Héritage Drop Brooch,brooches,178000,"Silver plate, pink topaz",An antique-style drop with a pink topaz.,"Openwork in the Edwardian manner, with a faceted pink topaz above and a second stone swinging below. The most decorative thing we carry, and unapologetic about it.",64mm including drop | Pink topaz | Openwork frame | Roll-over clasp,,,placeholder,
RNG-09,sample-ring-01,SAMPLE Ring 01,rings,68000,Sample — client photograph,Sample image for layout testing. Not a real listing.,"This is a sample entry used to see how the client’s own photography sits in the shop grid and on a product page. The photograph is real; the name, price and copy are not. Remove these before launch.",Sample entry | Photograph is real | Name and price are not | Remove before launch,,,placeholder,SAMPLE - added 16 Aug 2026 from IMAGE_TEST/ to preview real photography. Delete before launch.
RNG-10,sample-ring-02,SAMPLE Ring 02,rings,112000,Sample — client photograph,Sample image for layout testing. Not a real listing.,"This is a sample entry used to see how the client’s own photography sits in the shop grid and on a product page. The photograph is real; the name, price and copy are not. Remove these before launch.",Sample entry | Photograph is real | Name and price are not | Remove before launch,,,placeholder,SAMPLE - added 16 Aug 2026 from IMAGE_TEST/ to preview real photography. Delete before launch.
RNG-11,sample-ring-03,SAMPLE Ring 03,rings,145000,Sample — client photograph,Sample image for layout testing. Not a real listing.,"This is a sample entry used to see how the client’s own photography sits in the shop grid and on a product page. The photograph is real; the name, price and copy are not. Remove these before launch.",Sample entry | Photograph is real | Name and price are not | Remove before launch,,,placeholder,SAMPLE - added 16 Aug 2026 from IMAGE_TEST/ to preview real photography. Delete before launch.
RNG-12,sample-ring-04,SAMPLE Ring 04,rings,158000,Sample — client photograph,Sample image for layout testing. Not a real listing.,"This is a sample entry used to see how the client’s own photography sits in the shop grid and on a product page. The photograph is real; the name, price and copy are not. Remove these before launch.",Sample entry | Photograph is real | Name and price are not | Remove before launch,,,placeholder,SAMPLE - added 16 Aug 2026 from IMAGE_TEST/ to preview real photography. Delete before launch.
RNG-13,sample-ring-05,SAMPLE Ring 05,rings,96000,Sample — client photograph,Sample image for layout testing. Not a real listing.,"This is a sample entry used to see how the client’s own photography sits in the shop grid and on a product page. The photograph is real; the name, price and copy are not. Remove these before launch.",Sample entry | Photograph is real | Name and price are not | Remove before launch,,,placeholder,SAMPLE - added 16 Aug 2026 from IMAGE_TEST/ to preview real photography. Delete before launch.
RNG-14,sample-ring-06,SAMPLE Ring 06,rings,124000,Sample — client photograph,Sample image for layout testing. Not a real listing.,"This is a sample entry used to see how the client’s own photography sits in the shop grid and on a product page. The photograph is real; the name, price and copy are not. Remove these before launch.",Sample entry | Photograph is real | Name and price are not | Remove before launch,,,placeholder,SAMPLE - added 16 Aug 2026 from IMAGE_TEST/ to preview real photography. Delete before launch.
RNG-15,sample-ring-07,SAMPLE Ring 07,rings,134000,Sample — client photograph,Sample image for layout testing. Not a real listing.,"This is a sample entry used to see how the client’s own photography sits in the shop grid and on a product page. The photograph is real; the name, price and copy are not. Remove these before launch.",Sample entry | Photograph is real | Name and price are not | Remove before launch,,,placeholder,SAMPLE - added 16 Aug 2026 from IMAGE_TEST/ to preview real photography. Delete before launch.
RNG-16,sample-ring-08,SAMPLE Ring 08,rings,88000,Sample — client photograph,Sample image for layout testing. Not a real listing.,"This is a sample entry used to see how the client’s own photography sits in the shop grid and on a product page. The photograph is real; the name, price and copy are not. Remove these before launch.",Sample entry | Photograph is real | Name and price are not | Remove before launch,,,placeholder,SAMPLE - added 16 Aug 2026 from IMAGE_TEST/ to preview real photography. Delete before launch.
RNG-17,sample-ring-09,SAMPLE Ring 09,rings,176000,Sample — client photograph,Sample image for layout testing. Not a real listing.,"This is a sample entry used to see how the client’s own photography sits in the shop grid and on a product page. The photograph is real; the name, price and copy are not. Remove these before launch.",Sample entry | Photograph is real | Name and price are not | Remove before launch,,,placeholder,SAMPLE - added 16 Aug 2026 from IMAGE_TEST/ to preview real photography. Delete before launch.
RNG-18,sample-ring-10,SAMPLE Ring 10,rings,204000,Sample — client photograph,Sample image for layout testing. Not a real listing.,"This is a sample entry used to see how the client’s own photography sits in the shop grid and on a product page. The photograph is real; the name, price and copy are not. Remove these before launch.",Sample entry | Photograph is real | Name and price are not | Remove before launch,,,placeholder,SAMPLE - added 16 Aug 2026 from IMAGE_TEST/ to preview real photography. Delete before launch.
